ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9516614,HX172038,03/03/2014 12:00:00 AM,076XX S MAY ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,false,false,0612,006,17,71,11,1170014,1854191,2014,03/09/2014 12:39:51 AM,41.75539252436101,-87.65250994758621,"(41.75539252436101, -87.65250994758621)"
9521966,HX176713,03/03/2014 12:00:00 AM,006XX W 79TH ST,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,false,false,0621,,17,69,02,,,2014,03/09/2014 12:39:51 AM,,,
9520840,HX175656,03/03/2014 12:00:00 AM,083XX S ASHLAND AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,PARKING LOT/GARAGE(NON.RESID.),false,false,0614,006,21,71,02,1167164,1849431,2014,03/09/2014 12:39:51 AM,41.74239183142184,-87.66309036177171,"(41.74239183142184, -87.66309036177171)"
9519620,HX174561,03/03/2014 12:00:00 AM,033XX W BEACH AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,false,false,1422,014,26,23,11,1153901,1909401,2014,03/09/2014 12:39:51 AM,41.90723050466398,-87.71009250237968,"(41.90723050466398, -87.71009250237968)"
9516688,HX172198,03/03/2014 12:00:00 AM,084XX S VINCENNES AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,false,0622,006,21,71,26,1173663,1848604,2014,03/08/2014 12:40:21 AM,41.73998106394178,-87.6393024809428,"(41.73998106394178, -87.6393024809428)"
9514863,HX170320,03/02/2014 11:30:00 PM,042XX W CULLERTON ST,0460,BATTERY,SIMPLE,APARTMENT,false,false,1012,010,24,29,08B,1148594,1890047,2014,03/06/2014 12:40:43 AM,41.854225097567216,-87.73008731348443,"(41.854225097567216, -87.73008731348443)"
9514878,HX170328,03/02/2014 11:20:00 PM,127XX S WALLACE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,true,0523,005,9,53,14,1174587,1820411,2014,03/06/2014 12:40:43 AM,41.66259479867776,-87.63675255369961,"(41.66259479867776, -87.63675255369961)"
9514966,HX170418,03/02/2014 11:15:00 PM,017XX W THORNDALE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2012,020,40,77,06,1163900,1939005,2014,03/05/2014 12:39:37 AM,41.988260151978515,-87.67252339617738,"(41.988260151978515, -87.67252339617738)"
9516792,HX172224,03/02/2014 11:15:00 PM,049XX W HIRSCH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,2533,025,37,25,08B,1143031,1908895,2014,03/07/2014 12:40:58 AM,41.906051766762104,-87.75003580724024,"(41.906051766762104, -87.75003580724024)"
9514870,HX170313,03/02/2014 11:15:00 PM,022XX S PULASKI RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1013,010,22,29,18,1150017,1888930,2014,03/05/2014 12:39:37 AM,41.85113235912374,-87.72489334012005,"(41.85113235912374, -87.72489334012005)"
